bidden;1;bid;bidt;bidt;bidden;bidden;bidden;heb gebeden;hebt gebeden;heeft gebeden;hebben gebeden;hebben gebeden;hebben gebeden;bad;bad;bad;baden;baden;baden;zal bidden;zult bidden;zal bidden;zullen bidden;zullen bidden;zullen bidden;zou bidden;zou bidden;zou bidden;zouden bidden;zouden bidden;zouden bidden;bidde;bidde;bidde;bidde;bidde;bidde;had gebeden;had gebeden;had gebeden;hadden gebeden;hadden gebeden;hadden gebeden;zal gebeden hebben;zal gebeden hebben;zal gebeden hebben;zullen gebeden hebben;zullen gebeden hebben;zullen gebeden hebben;zou gebeden hebben;zou gebeden hebben;zou gebeden hebben;zouden gebeden hebben;zouden gebeden hebben;zouden gebeden hebben;bid;bidt;
blijven;1;blijf;blijft;blijft;blijven;blijven;blijven;ben gebleven;bent gebleven;is gebleven;zijn gebleven;zijn gebleven;zijn gebleven;bleef;bleef;bleef;bleven;bleven;bleven;zal blijven;zult blijven;zal blijven;zullen blijven;zullen blijven;zullen blijven;zou blijven;zou blijven;zou blijven;zouden blijven;zouden blijven;zouden blijven;blijve;blijve;blijve;blijve;blijve;blijve;was gebleven;was gebleven;was gebleven;waren gebleven;waren gebleven;waren gebleven;zal gebleven zijn;zal gebleven zijn;zal gebleven zijn;zullen gebleven zijn;zullen gebleven zijn;zullen gebleven zijn;zou gebleven zijn;zou gebleven zijn;zou gebleven zijn;zouden gebleven zijn;zouden gebleven zijn;zouden gebleven zijn;blijf;blijft;
brengen;1;breng;brengt;brengt;brengen;brengen;brengen;heb gebracht;hebt gebracht;heeft gebracht;hebben gebracht;hebben gebracht;hebben gebracht;bracht;bracht;bracht;brachten;brachten;brachten;zal brengen;zult brengen;zal brengen;zullen brengen;zullen brengen;zullen brengen;zou brengen;zou brengen;zou brengen;zouden brengen;zouden brengen;zouden brengen;brenge;brenge;brenge;brenge;brenge;brenge;had gebracht;had gebracht;had gebracht;hadden gebracht;hadden gebracht;hadden gebracht;zal gebracht hebben;zal gebracht hebben;zal gebracht hebben;zullen gebracht hebben;zullen gebracht hebben;zullen gebracht hebben;zou gebracht hebben;zou gebracht hebben;zou gebracht hebben;zouden gebracht hebben;zouden gebracht hebben;zouden gebracht hebben;breng;brengt;
danken;1;dank;dankt;dankt;danken;danken;danken;heb gedankt;hebt gedankt;heeft gedankt;hebben gedankt;hebben gedankt;hebben gedankt;dankte;dankte;dankte;dankten;dankten;dankten;zal danken;zult danken;zal danken;zullen danken;zullen danken;zullen danken;zou danken;zou danken;zou danken;zouden danken;zouden danken;zouden danken;danke;danke;danke;danke;danke;danke;had gedankt;had gedankt;had gedankt;hadden gedankt;hadden gedankt;hadden gedankt;zal gedankt hebben;zal gedankt hebben;zal gedankt hebben;zullen gedankt hebben;zullen gedankt hebben;zullen gedankt hebben;zou gedankt hebben;zou gedankt hebben;zou gedankt hebben;zouden gedankt hebben;zouden gedankt hebben;zouden gedankt hebben;dank;dankt;
denken;1;denk;denkt;denkt;denken;denken;denken;heb gedacht;hebt gedacht;heeft gedacht;hebben gedacht;hebben gedacht;hebben gedacht;dacht;dacht;dacht;dachten;dachten;dachten;zal denken;zult denken;zal denken;zullen denken;zullen denken;zullen denken;zou denken;zou denken;zou denken;zouden denken;zouden denken;zouden denken;denke;denke;denke;denke;denke;denke;had gedacht;had gedacht;had gedacht;hadden gedacht;hadden gedacht;hadden gedacht;zal gedacht hebben;zal gedacht hebben;zal gedacht hebben;zullen gedacht hebben;zullen gedacht hebben;zullen gedacht hebben;zou gedacht hebben;zou gedacht hebben;zou gedacht hebben;zouden gedacht hebben;zouden gedacht hebben;zouden gedacht hebben;denk;denkt;
doen;1;doe;doet;doet;doen;doen;doen;heb gedaan;hebt gedaan;heeft gedaan;hebben gedaan;hebben gedaan;hebben gedaan;deed;deed;deed;deden;deden;deden;zal doen;zult doen;zal doen;zullen doen;zullen doen;zullen doen;zou doen;zou doen;zou doen;zouden doen;zouden doen;zouden doen;doe;doe;doe;doe;doe;doe;had gedaan;had gedaan;had gedaan;hadden gedaan;hadden gedaan;hadden gedaan;zal gedaan hebben;zal gedaan hebben;zal gedaan hebben;zullen gedaan hebben;zullen gedaan hebben;zullen gedaan hebben;zou gedaan hebben;zou gedaan hebben;zou gedaan hebben;zouden gedaan hebben;zouden gedaan hebben;zouden gedaan hebben;do;doet;
drinken;1;drink;drinkt;drinkt;drinken;drinken;drinken;heb gedronken;hebt gedronken;heeft gedronken;hebben gedronken;hebben gedronken;hebben gedronken;dronk;dronk;dronk;dronken;dronken;dronken;zal drinken;zult drinken;zal drinken;zullen drinken;zullen drinken;zullen drinken;zou drinken;zou drinken;zou drinken;zouden drinken;zouden drinken;zouden drinken;drinke;drinke;drinke;drinke;drinke;drinke;had gedronken;had gedronken;had gedronken;hadden gedronken;hadden gedronken;hadden gedronken;zal gedronken hebben;zal gedronken hebben;zal gedronken hebben;zullen gedronken hebben;zullen gedronken hebben;zullen gedronken hebben;zou gedronken hebben;zou gedronken hebben;zou gedronken hebben;zouden gedronken hebben;zouden gedronken hebben;zouden gedronken hebben;drink;drinkt;
duwen;1;duw;duwt;duwt;duwen;duwen;duwen;heb geduwd;hebt geduwd;heeft geduwd;hebben geduwd;hebben geduwd;hebben geduwd;duwde;duwde;duwde;duwden;duwden;duwden;zal duwen;zult duwen;zal duwen;zullen duwen;zullen duwen;zullen duwen;zou duwen;zou duwen;zou duwen;zouden duwen;zouden duwen;zouden duwen;duwe;duwe;duwe;duwe;duwe;duwe;had geduwd;had geduwd;had geduwd;hadden geduwd;hadden geduwd;hadden geduwd;zal geduwd hebben;zal geduwd hebben;zal geduwd hebben;zullen geduwd hebben;zullen geduwd hebben;zullen geduwd hebben;zou geduwd hebben;zou geduwd hebben;zou geduwd hebben;zouden geduwd hebben;zouden geduwd hebben;zouden geduwd hebben;duw;duwt;
eten;1;eet;eet;eet;eten;eten;eten;heb gegeten;hebt gegeten;heeft gegeten;hebben gegeten;hebben gegeten;hebben gegeten;at;at;at;aten;aten;aten;zal eten;zult eten;zal eten;zullen eten;zullen eten;zullen eten;zou eten;zou eten;zou eten;zouden eten;zouden eten;zouden eten;ete;ete;ete;ete;ete;ete;had gegeten;had gegeten;had gegeten;hadden gegeten;hadden gegeten;hadden gegeten;zal gegeten hebben;zal gegeten hebben;zal gegeten hebben;zullen gegeten hebben;zullen gegeten hebben;zullen gegeten hebben;zou gegeten hebben;zou gegeten hebben;zou gegeten hebben;zouden gegeten hebben;zouden gegeten hebben;zouden gegeten hebben;eet;eet;
fietsen;1;fiets;fietst;fietst;fietsen;fietsen;fietsen;heb gefietst;hebt gefietst;heeft gefietst;hebben gefietst;hebben gefietst;hebben gefietst;fietste;fietste;fietste;fietsten;fietsten;fietsten;zal fietsen;zult fietsen;zal fietsen;zullen fietsen;zullen fietsen;zullen fietsen;zou fietsen;zou fietsen;zou fietsen;zouden fietsen;zouden fietsen;zouden fietsen;fietse;fietse;fietse;fietse;fietse;fietse;had gefietst;had gefietst;had gefietst;hadden gefietst;hadden gefietst;hadden gefietst;zal gefietst hebben;zal gefietst hebben;zal gefietst hebben;zullen gefietst hebben;zullen gefietst hebben;zullen gefietst hebben;zou gefietst hebben;zou gefietst hebben;zou gefietst hebben;zouden gefietst hebben;zouden gefietst hebben;zouden gefietst hebben;fiets;fietst;
